text	label
Using the device accelerometer sensor it implements a simple pedometer that is used to measure movements of the victim.	1
When the malware is first started on the device it will begin by hiding its icon from the application drawer.	1
Then it will ask for the accessibility service privilege as visible in the following screenshot:	1
After the user grants the requested privilege, Cerberus starts to abuse it by granting itself additional permissions, such as permissions needed to send messages and make calls, without requiring any user interaction.	1
It also disables Play Protect (Google’s preinstalled antivirus solution) to prevent its discovery and deletion in the future.	1
After conveniently granting itself additional privileges and securing its persistence on the device, Cerberus registers the infected device in the botnet and waits for commands from the C2 server while also being ready to perform overlay attacks.	1
push Shows a push notification.	1
Clicking on thenotification will result in launching a specified app	1
getInstallApps Gets the list of installedapplications on the infected device	1
getContacts Gets the contact names and phone numbers from the addressbook on the infected device	1
deleteApplication Triggers the deletion of the specified application	1
forwardCall Enables call forwarding to the specified number	1
sendSms Sends a text message with specified text from the infecteddevice to the specified phone number	1
startInject Triggers the overlay attack against the specified application	1
startUssd Calls the specified USSD code	1
openUrl Opens the specified URL in the WebView	1
getSMS Gets all text messages from the infected device	1
killMe Triggers the kill switch for the bot	1
updateModule Updates the payload module	1
Cerberus malware has the same capabilities as most other Android banking Trojans such as the use of overlay attacks, SMS control and contact list harvesting.	1
The Trojan can also leverage keylogging to broaden the attack scope.	1
Overlaying: Dynamic (Local injects obtained from C2)	1
Keylogging	1
SMS harvesting: SMS listing	1
SMS harvesting: SMS forwarding	1
Device info collection	1
Contact list collection	1
Application listing	1
Location collection	1
Overlaying: Targets list update	1
SMS: Sending	1
Calls: USSD request making	1
Calls: Call forwarding	1
Remote actions: App installing	1
Remote actions: App starting	1
Remote actions: App removal	1
Remote actions: Showing arbitrary web pages	1
Remote actions: Screen-locking	1
Notifications: Push notifications	1
C2 Resilience: Auxiliary C2 list	1
Self-protection: Hiding the App icon	1
Self-protection: Preventing removal	1
Self-protection: Emulation-detection	1
Most Android banking Trojans use overlay attacks to trick the victim into providing their personal information (such as but not limited to: credit card information, banking credentials, mail credentials) and Cerberus is no exception.	1
In this particular case, the bot abuses the accessibility service privilege to obtain the package name of the foreground application and determine whether or not to show a phishing overlay window, as shown in the following code snippet:	1
Ursnif Leverages Cerberus to Automate Fraudulent Bank Transfers in Italy	1
Aside from the Ursnif infection on the victim’s desktop, the malware tricks victims into fetching a mobile app from a fake Google Play page and infects their mobile device with the Cerberus Android malware.	1
The Cerberus malware component of the attack is used by Ursnif’s operators to receive two-factor authentication codes sent by banks to their users when account updates and money transfer transactions are being confirmed in real-time.	1
Cerberus also possesses other features and can enable the attacker to obtain the lock-screen code and remotely control the device.	1
It has evolved over time to eventually feature the ability to hijack SMS content and control devices remotely, alongside other sophisticated data theft features.	1
If users scan the QR code, they will open a web page on their smartphone and be sent to a fake Google Play page featuring a corresponding banking app logo of the banking brand the victim originally attempted to access.	1
If the victims submit their phone number on the web injection, the remote server will send back a download URL for them to unknowingly download the Cerberus malware.	1
Cerberus is being used here only as the component that allows the attackers to bypass the bank’s SMS-code verification challenge.	1
ADD_INFO Send data to C2: token, SMS content, telephone, download an application.	1
ASK Send communication to the C2.	1
GET_DROP Check account balance on the victim’s bank account.	1
GOOD_TRF Attempt to initiate a money transfer transaction.	1
LOGIN Send victim’s login information to attacker’s C2 server.	1
PING Check if the infected machine is currently online.	1
Since it hooks the internet browser, it takes different steps to manipulate what victims see on their screens and have them click on elements that launch the Trojan’s resources into action.	1
It, therefore, attempts to replace a login button from the original bank’s webpage and plant its own button that the victim will click.	1
After receiving the data from the victim, the malware sends data to the C2 server, including authorization token, SMS content, telephone number and account login information.	1
To prevent victims from accessing the account and discovering the fraudulent activity before it is finalized, Ursnif presents a maintenance notice on the account.	1
In-depth analysis of the infrastructure has already unearthed the malware’s ability to covertly send and steal SMS codes, to open tailored overlays for various online banks, and to steal 2FA-codes including from Google Authenticator.	1
Additional capabilities include accessing customer credit card and contact details, the ability to redirect calls or tamper with mobile functionality via its RAT features, and to automatically grant required permissions as part of its authentication attributes.	1
Like any Remote Access Trojan worth its salt, Cerberus is capable of deep surveillance within your device, interfering with the encrypted communications the phone has with its apps, and outside.	1
Basically, Cerberus can intercept and steal your phone’s unlock pattern or PIN, as well as Google Authenticator numbers, and any SMS necessary to perform a two-step verification.	1
Likewise, this malware can interpose itself between you and your bank’s app through an overlay, the most common method for carrying out a phishing attack.	1
In short, Cerberus can enter your computer, extract all the necessary data to perform a bank fraud, and wait for the best moment to take the money from your account.	1
This service, which normally assists users with disabilities in certain applications, is abused by Cerberus to give itself more permissions without user interaction.	1
Having control of the Accessibility Services, the malware proceeds to ensure its persistence in different ways, either by disabling Play Protect or by removing itself from the applications in use.	1
On the other hand, Cerberus is capable of generating an instance of TeamViewer on mobile, and through the aforementioned Accessibility permissions, authorizing said session while the equipment is in use, all without user interaction.	1
A keylogger	1
Listing, retrieval, sending and forwarding of SMS	1
Forwarding or transferring calls	1
